S.No,API Endpoint,HTTP Method,Description,Input Parameters,Input Example (JSON),Output Format,Output Example (JSON)
12,/api/v1/schedular/constraints,GET,"List all constraint thresholds ordered by type then sort_order. Used for milestone and overall site status color-coding rules based on count ranges.",None,None,"JSON array of ConstraintThresholdSchema objects","[{""id"": 1, ""constraint_type"": ""milestone"", ""name"": ""On Track"", ""status_label"": ""ON TRACK"", ""color"": ""green"", ""min_pct"": 0, ""max_pct"": 2, ""sort_order"": 1}]"
13,/api/v1/schedular/constraints/milestone,GET,"List only milestone-level constraint thresholds. Filters thresholds where constraint_type is 'milestone'.",None,None,"JSON array of ConstraintThresholdSchema objects","[{""id"": 1, ""constraint_type"": ""milestone"", ""name"": ""On Track"", ""status_label"": ""ON TRACK"", ""color"": ""green"", ""min_pct"": 0, ""max_pct"": 2, ""sort_order"": 1}]"
14,/api/v1/schedular/constraints/overall,GET,"List only overall site-level constraint thresholds. Filters thresholds where constraint_type is 'overall'.",None,None,"JSON array of ConstraintThresholdSchema objects","[{""id"": 2, ""constraint_type"": ""overall"", ""name"": ""Critical"", ""status_label"": ""CRITICAL"", ""color"": ""red"", ""min_pct"": 80, ""max_pct"": 100, ""sort_order"": 1}]"
15,/api/v1/schedular/constraints/{constraint_id},GET,"Get a single constraint threshold by its ID.","Path Params: constraint_id (int, required)","/api/v1/schedular/constraints/1","JSON object of ConstraintThresholdSchema","{""id"": 1, ""constraint_type"": ""milestone"", ""name"": ""On Track"", ""status_label"": ""ON TRACK"", ""color"": ""green"", ""min_pct"": 0, ""max_pct"": 2, ""sort_order"": 1}"
16,/api/v1/schedular/constraints,POST,"Create a new constraint threshold. Validates count ranges, prevents overlapping ranges and duplicate entries within the same constraint_type.","Request Body: constraint_type (string, 'milestone' or 'overall'), name (string, required), status_label (string, required), color (string, required), min_pct (int, default=0), max_pct (int, optional), sort_order (int, default=0)","{""constraint_type"": ""milestone"", ""name"": ""Warning"", ""status_label"": ""WARNING"", ""color"": ""yellow"", ""min_pct"": 3, ""max_pct"": 5, ""sort_order"": 2}","JSON object of created ConstraintThresholdSchema","{""id"": 3, ""constraint_type"": ""milestone"", ""name"": ""Warning"", ""status_label"": ""WARNING"", ""color"": ""yellow"", ""min_pct"": 3, ""max_pct"": 5, ""sort_order"": 2}"
17,/api/v1/schedular/constraints/{constraint_id},PUT,"Update an existing constraint threshold. Supports partial updates, validates count ranges and prevents overlapping ranges.","Path Params: constraint_id (int, required). Request Body: name (string, optional), status_label (string, optional), color (string, optional), min_pct (int, optional), max_pct (int, optional), sort_order (int, optional)","{""name"": ""Updated Warning"", ""color"": ""orange"", ""min_pct"": 4}","JSON object of updated ConstraintThresholdSchema","{""id"": 3, ""constraint_type"": ""milestone"", ""name"": ""Updated Warning"", ""status_label"": ""WARNING"", ""color"": ""orange"", ""min_pct"": 4, ""max_pct"": 5, ""sort_order"": 2}"
18,/api/v1/schedular/constraints/{constraint_id},DELETE,"Delete a constraint threshold by its ID.","Path Params: constraint_id (int, required)","/api/v1/schedular/constraints/3","JSON object with detail message","{""detail"": ""Constraint threshold 3 deleted""}"
19,/api/v1/schedular/gate-checks/por_plan_type,GET,"Get all distinct por_plan_type values from the staging table. Used to populate plan type filter options.",None,None,"JSON array of plan type strings","[""New Build"", ""FOA"", ""Modification""]"
20,/api/v1/schedular/gate-checks/por_regional_dev_initiatives,GET,"Get all distinct por_regional_dev_initiatives values from the staging table. Used to populate regional dev initiatives filter options.",None,None,"JSON array of regional dev initiative strings","[""2026 Build Plan"", ""Rural Expansion""]"
21,/api/v1/schedular/gate-checks,POST,"Save or update gate check filter selections for a user. Upserts the UserFilter row with plan_type_include and regional_dev_initiatives.","Request Body: user_id (string, required), plan_type_include (list[string], optional), regional_dev_initiatives (string, optional)","{""user_id"": ""user123"", ""plan_type_include"": [""New Build"", ""FOA""], ""regional_dev_initiatives"": ""2026 Build Plan""}","JSON object of GateCheckOut","{""user_id"": ""user123"", ""plan_type_include"": [""New Build"", ""FOA""], ""regional_dev_initiatives"": ""2026 Build Plan""}"
22,/api/v1/schedular/gate-checks/{user_id},GET,"Get saved gate check selections for a specific user. Returns 404 if no gate checks are saved.","Path Params: user_id (string, required)","/api/v1/schedular/gate-checks/user123","JSON object of GateCheckOut","{""user_id"": ""user123"", ""plan_type_include"": [""New Build"", ""FOA""], ""regional_dev_initiatives"": ""2026 Build Plan""}"
23,/api/v1/schedular/assistant/chat,POST,"AI-powered chat interface. Maintains conversation history per user_id and thread_id. Returns recommended API endpoints and parameters for the frontend to call.","Query Params: user_id (string, required), thread_id (string, required). Request Body: message (string, default='Give the current filters')","{""message"": ""Show me all critical sites in Northeast region""}","JSON object with assistant response (recommended endpoints and params)","{""message"": ""Based on your request, I recommend calling the gantt-charts endpoint with region=Northeast filter."", ""actions"": [{""endpoint"": ""/api/v1/schedular/gantt-charts"", ""params"": {""region"": ""Northeast""}}]}"
24,/api/v1/schedular/assistant/threads,POST,"Create a new chat thread for a user. Persists an initial record so it appears in history. Returns the generated thread_id.","Request Body: user_id (string, required)","{""user_id"": ""user123""}","JSON object with thread_id and user_id","{""thread_id"": ""a1b2c3d4-e5f6-7890-abcd-ef1234567890"", ""user_id"": ""user123""}"
25,/api/v1/schedular/resume,POST,"Resume a simulation after HITL (human-in-the-loop). When a simulation returns hitl_required the frontend collects the user's answer and calls this endpoint.","Request Body: thread_id (string, required), clarification (string, required)","{""thread_id"": ""a1b2c3d4-e5f6-7890-abcd-ef1234567890"", ""clarification"": ""Yes proceed with the changes""}","JSON object with simulation result","{""message"": ""Simulation completed successfully."", ""actions"": []}"
26,/api/v1/schedular/assistant/history,GET,"Get all chat history grouped by user_id and thread_id (all users). Returns full message content for every thread.",None,None,"JSON array of ChatHistoryOut objects","[{""user_id"": ""user123"", ""threads"": [{""thread_id"": ""abc123"", ""messages"": [{""id"": 1, ""role"": ""user"", ""content"": ""Hello"", ""created_at"": ""2025-03-01T10:00:00""}], ""last_message_at"": ""2025-03-01T10:00:00""}]}]"
27,/api/v1/schedular/assistant/history/{user_id}/threads,GET,"Get all thread summaries for a specific user (lightweight with message previews not full messages).","Path Params: user_id (string, required)","/api/v1/schedular/assistant/history/user123/threads","JSON array of ChatThreadSummary objects","[{""thread_id"": ""abc123"", ""message_count"": 4, ""first_user_message"": ""Show me critical sites..."", ""first_assistant_message"": ""Here are the critical sites..."", ""last_message_at"": ""2025-03-01T10:05:00""}]"
28,/api/v1/schedular/assistant/history/{user_id}/threads/{thread_id},GET,"Get full chat messages for a specific user + thread.","Path Params: user_id (string, required), thread_id (string, required)","/api/v1/schedular/assistant/history/user123/threads/abc123","JSON object of ChatThreadOut","{""thread_id"": ""abc123"", ""messages"": [{""id"": 1, ""role"": ""user"", ""content"": ""Hello"", ""created_at"": ""2025-03-01T10:00:00""}, {""id"": 2, ""role"": ""assistant"", ""content"": ""{...}"", ""created_at"": ""2025-03-01T10:00:01""}], ""last_message_at"": ""2025-03-01T10:00:01""}"
29,/api/v1/schedular/assistant/history/{user_id},DELETE,"Delete all chat history for a specific user (all threads).","Path Params: user_id (string, required)","/api/v1/schedular/assistant/history/user123","JSON object with detail message","{""detail"": ""Deleted 10 messages for user 'user123'""}"
30,/api/v1/schedular/assistant/history/{user_id}/threads/{thread_id},DELETE,"Delete all messages for a specific user + thread.","Path Params: user_id (string, required), thread_id (string, required)","/api/v1/schedular/assistant/history/user123/threads/abc123","JSON object with detail message","{""detail"": ""Deleted 4 messages from thread 'abc123'""}"
31,/api/v1/schedular/user-filters/{user_id},GET,"Get saved filter preferences for a specific user. Returns empty defaults (id=0) if no filters are saved for the user — never returns 404.","Path Params: user_id (string, required)","/api/v1/schedular/user-filters/user123","JSON object of UserFilterOut","{""id"": 1, ""user_id"": ""user123"", ""region"": ""Northeast"", ""market"": ""NYC"", ""vendor"": ""Vendor A"", ""site_id"": null, ""area"": null, ""plan_type_include"": ""[\""New Build\""]"", ""regional_dev_initiatives"": ""2026 Build Plan""}"
32,/api/v1/schedular/user-filters/{user_id},DELETE,"Clear all saved filter preferences for a specific user.","Path Params: user_id (string, required)","/api/v1/schedular/user-filters/user123","JSON object with detail message","{""detail"": ""Filters cleared for user user123.""}"
33,/api/v1/schedular/skip-prerequisites,POST,"Mark a prerequisite as skipped for the current user. Prevents duplicate skip entries.","Request Body: milestone_key (string, required)","{""milestone_key"": ""1310""}","JSON object of SkipPrerequisiteOut","{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""is_skipped"": true}"
34,/api/v1/schedular/skip-prerequisites/{user_id},GET,"List all skipped prerequisites for a specific user.","Path Params: user_id (string, required)","/api/v1/schedular/skip-prerequisites/user123","JSON array of SkipPrerequisiteOut objects","[{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""is_skipped"": true}]"
35,/api/v1/schedular/skip-prerequisites/{user_id}/{milestone_key},DELETE,"Un-skip a single prerequisite for a specific user. Restores the prerequisite to active state.","Path Params: user_id (string, required), milestone_key (string, required)","/api/v1/schedular/skip-prerequisites/user123/1310","JSON object with detail message","{""detail"": ""Prerequisite 1310 un-skipped for user user123.""}"
36,/api/v1/schedular/skip-prerequisites/{user_id},DELETE,"Un-skip all prerequisites for a specific user. Restores all prerequisites to active state.","Path Params: user_id (string, required)","/api/v1/schedular/skip-prerequisites/user123","JSON object with detail message","{""detail"": ""All prerequisites un-skipped for user user123.""}"
37,/api/v1/schedular/user-expected-days/{user_id},PUT,"Set or update the expected_days SLA override for a specific milestone for a user. Upserts the record.","Path Params: user_id (string, required). Request Body: milestone_key (string, required), expected_days (int, required, >= 0)","{""milestone_key"": ""1310"", ""expected_days"": 45}","JSON object of UserExpectedDaysOut","{""id"": 1, ""user_id"": ""user123"", ""milestone_key"": ""1310"", ""expected_days"": 45}"
38,/api/v1/schedular/user-expected-days/{user_id},GET,"List all expected_days SLA overrides for a specific user.","Path Params: user_id (string, required)","/api/v1/schedular/user-expected-days/user123","JSON array of UserExpectedDaysOut objects","[{""id"": 1, ""user_id"": ""user123"", ""milestone_key"": ""1310"", ""expected_days"": 45}]"
39,/api/v1/schedular/sla-history/gantt-charts,GET,"Gantt chart using history-based SLA. Computes expected_days from historical actual dates within the specified date range, saves them, then returns gantt chart. Status filter matches both overall_status and exclude_reason. Optionally apply vendor capacity and pace constraints.","Query Params: date_from (string, YYYY-MM-DD, required), date_to (string, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), limit (int, optional), offset (int, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional — ON TRACK, IN PROGRESS, CRITICAL, Blocked, Excluded - Crew Shortage, Excluded - Pace Constraint)","/api/v1/schedular/sla-history/gantt-charts?date_from=2025-01-01&date_to=2025-06-30&region=Northeast&pace_constraint_flag=true","JSON object with sla_type, date range, sla_last_updated, count, sites array, and pagination","{""sla_type"": ""history"", ""date_from"": ""2025-01-01"", ""date_to"": ""2025-06-30"", ""sla_last_updated"": ""2025-03-15T12:00:00"", ""count"": 1, ""sites"": [{""site_id"": ""SITE001"", ""milestones"": [], ""overall_status"": ""ON TRACK"", ""note"": null, ""exclude_reason"": null, ""delay_comments"": null, ""delay_code"": null}], ""pagination"": {""limit"": 50, ""offset"": 0, ""total_count"": 1}}"
40,/api/v1/schedular/sla-history/reset,POST,"Clear all history_expected_days values from milestone_definitions table. Reverts all milestones to use default expected_days.",None,None,"JSON object with detail message","{""detail"": ""Reset history_expected_days for 12 milestones""}"
41,/api/v1/schedular/export/gantt-csv,GET,"Export gantt chart data as a downloadable CSV file using default/user-override SLA. Supports all gantt chart filters. Status filter matches both overall_status and exclude_reason. CSV includes columns: Site ID, Project ID, Project Name, Market, Area, Region, Vendor, All Prerequisites Complete Date, Forecasted CX Start, Overall Status, On Track %, Total Milestones, On Track, In Progress, Delayed, Note, Exclude Reason, Delay Comments, Delay Code, plus per-milestone columns (Status, Planned Start, Planned Finish, Actual Finish, Expected Days, Delay Days, Task Owner, Phase Type).","Query Params: region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional — ON TRACK, IN PROGRESS, CRITICAL, Blocked, Excluded - Crew Shortage, Excluded - Pace Constraint)","/api/v1/schedular/export/gantt-csv?user_id=user123&pace_constraint_flag=true","StreamingResponse (CSV file download, content-type: text/csv)","CSV file with site-level columns (Site ID, Project ID, Project Name, Market, Area, Region, Vendor, All Prerequisites Complete Date, Forecasted CX Start, Overall Status, On Track %, Total Milestones, On Track, In Progress, Delayed, Note, Exclude Reason, Delay Comments, Delay Code) plus per-milestone columns (Status, Planned Start, Planned Finish, Actual Finish, Expected Days, Delay Days, Task Owner, Phase Type)"
42,/api/v1/schedular/export/gantt-csv-history,GET,"Export gantt chart data as a downloadable CSV file using SLA history-based expected_days. Computes expected_days from historical actual dates within [date_from, date_to]. Supports all gantt chart filters. Status filter matches both overall_status and exclude_reason. Same CSV column format as gantt-csv.","Query Params: date_from (string, YYYY-MM-DD, required), date_to (string, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional — ON TRACK, IN PROGRESS, CRITICAL, Blocked, Excluded - Crew Shortage, Excluded - Pace Constraint)","/api/v1/schedular/export/gantt-csv-history?date_from=2025-01-01&date_to=2025-06-30&user_id=user123","StreamingResponse (CSV file download, content-type: text/csv)","CSV file with same columns as gantt-csv: site-level columns (Site ID, Project ID, Project Name, Market, Area, Region, Vendor, All Prerequisites Complete Date, Forecasted CX Start, Overall Status, On Track %, Total Milestones, On Track, In Progress, Delayed, Note, Exclude Reason, Delay Comments, Delay Code) plus per-milestone columns"
43,/api/v1/schedular/admin/prerequisites,POST,"Admin-only: Create a new prerequisite/milestone definition. Auto-syncs prereq_tails and handles dependency rewiring for insertion into the chain.","Request Body: key (string, required), name (string, required), expected_days (int, default=0), start_gap_days (int, default=1), task_owner (string, optional), phase_type (string, optional), preceding_milestone_keys (list[string], optional), following_milestone_keys (list[string], optional), insert_after_key (string, optional), columns (list[MilestoneColumnCreate], default=[])","{""key"": ""1315"", ""name"": ""Zoning Approval"", ""expected_days"": 14, ""start_gap_days"": 1, ""task_owner"": ""Legal"", ""phase_type"": ""Acquisition"", ""preceding_milestone_keys"": [""1310""], ""following_milestone_keys"": [""1320""], ""insert_after_key"": ""1310"", ""columns"": [{""column_name"": ""zoning_date"", ""column_role"": ""date"", ""logic"": null}]}","JSON object of MilestoneDefinitionCreateOut","{""id"": 5, ""key"": ""1315"", ""name"": ""Zoning Approval"", ""sort_order"": 2, ""expected_days"": 14, ""start_gap_days"": 1, ""task_owner"": ""Legal"", ""phase_type"": ""Acquisition"", ""depends_on"": ""1310"", ""preceding_milestones"": [""1310""], ""following_milestones"": [""1320""], ""columns"": [{""column_name"": ""zoning_date"", ""column_role"": ""date"", ""logic"": null}]}"
44,/api/v1/schedular/admin/prerequisites/{prerequisite_id},PUT,"Admin-only: Update an existing prerequisite/milestone definition. Supports partial updates and auto-syncs prereq_tails.","Path Params: prerequisite_id (int, required). Request Body: name (string, optional), expected_days (int, optional), start_gap_days (int, optional), task_owner (string, optional), phase_type (string, optional)","{""name"": ""Updated Site Acquisition"", ""expected_days"": 35}","JSON object of MilestoneDefinitionOut","{""id"": 1, ""key"": ""1310"", ""name"": ""Updated Site Acquisition"", ""sort_order"": 1, ""expected_days"": 35, ""history_expected_days"": null, ""start_gap_days"": 1, ""sla_type"": ""default"", ""task_owner"": ""PM"", ""phase_type"": ""Acquisition"", ""preceding_milestones"": null, ""following_milestones"": [""1320""]}"
45,/api/v1/schedular/admin/skip-prerequisites,POST,"Admin-only: Globally skip a prerequisite. Sets is_skipped=True on the milestone definition affecting all users.","Request Body: milestone_key (string, required)","{""milestone_key"": ""1310""}","JSON object of SkipPrerequisiteOut","{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""is_skipped"": true}"
46,/api/v1/schedular/admin/skip-prerequisites,GET,"Admin-only: List all globally skipped prerequisites.",None,None,"JSON array of SkipPrerequisiteOut objects","[{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""is_skipped"": true}]"
47,/api/v1/schedular/admin/skip-prerequisites/{milestone_key},DELETE,"Admin-only: Un-skip a single prerequisite globally. Restores the prerequisite to active state for all users.","Path Params: milestone_key (string, required)","/api/v1/schedular/admin/skip-prerequisites/1310","JSON object with detail message","{""detail"": ""Prerequisite 1310 un-skipped globally.""}"
48,/api/v1/schedular/admin/skip-prerequisites,DELETE,"Admin-only: Un-skip all prerequisites globally. Restores all prerequisites to active state for all users.",None,None,"JSON object with detail message","{""detail"": ""All prerequisites un-skipped globally.""}"
49,/api/v1/schedular/admin/staging-columns,GET,"Admin-only: List all column names from the staging table. Used to populate column mapping dropdowns when creating prerequisites.",None,None,"JSON array of column name strings","[""site_id"", ""project_id"", ""market"", ""region"", ""entitlement_date"", ""ntp_date""]"
50,/api/v1/schedular/gc-capacity,GET,"List all GC (vendor) capacity entries from the predefined public.gc_capacity_market_trial table. Read-only — shows how many sites each vendor can work on in parallel per market.",None,None,"JSON array of GcCapacityOut objects","[{""id"": 1, ""gc_company"": ""Vendor A"", ""market"": ""NYC"", ""day_wise_gc_capacity"": 10}, {""id"": 2, ""gc_company"": ""Vendor B"", ""market"": ""Chicago"", ""day_wise_gc_capacity"": 8}]"
51,/api/v1/schedular/pace-constraints/geo-hierarchy,GET,"Return the region to area to market hierarchy from the staging table. Used by the frontend to populate geo dropdowns for pace constraints.",None,None,"JSON object with nested region/area/market hierarchy","{""CENTRAL"": {""Heartland"": [""CHICAGO"", ""DETROIT""], ""Southwest"": [""DALLAS"", ""HOUSTON""]}, ""EAST"": {""Northeast"": [""NYC"", ""BOSTON""]}}"
52,/api/v1/schedular/pace-constraints,GET,"List all pace constraints for a user. Each constraint defines a date range, market/area/region scope, and max sites allowed. If start_date/end_date are null, next ISO week (Monday-Sunday) is filled in.","Query Params: user_id (string, required)","/api/v1/schedular/pace-constraints?user_id=user123","JSON array of PaceConstraintOut objects","[{""id"": 1, ""user_id"": ""user123"", ""start_date"": ""2025-04-01T00:00:00"", ""end_date"": ""2025-06-30T00:00:00"", ""market"": ""NYC"", ""area"": null, ""region"": null, ""max_sites"": 5}]"
53,/api/v1/schedular/pace-constraints,POST,"Create a new pace constraint for a user. Only one geo level (region, area, or market) per constraint. Validates geo hierarchy conflicts against existing constraints. start_date and end_date are optional (both or neither).","Request Body: user_id (string, required), start_date (string, YYYY-MM-DD, optional), end_date (string, YYYY-MM-DD, optional), market (string, optional), area (string, optional), region (string, optional), max_sites (int, default=5)","{""user_id"": ""user123"", ""start_date"": ""2025-04-01"", ""end_date"": ""2025-06-30"", ""market"": ""NYC"", ""max_sites"": 5}","JSON object of PaceConstraintOut","{""id"": 1, ""user_id"": ""user123"", ""start_date"": ""2025-04-01T00:00:00"", ""end_date"": ""2025-06-30T00:00:00"", ""market"": ""NYC"", ""area"": null, ""region"": null, ""max_sites"": 5}"
54,/api/v1/schedular/pace-constraints/{entry_id},PUT,"Update an existing pace constraint. Must belong to the specified user. Validates single geo level and geo hierarchy conflicts. Supports partial updates.","Path Params: entry_id (int, required). Query Params: user_id (string, required). Request Body: start_date (string, optional), end_date (string, optional), market (string, optional), area (string, optional), region (string, optional), max_sites (int, optional)","{""start_date"": ""2025-05-01"", ""max_sites"": 10}","JSON object of PaceConstraintOut","{""id"": 1, ""user_id"": ""user123"", ""start_date"": ""2025-05-01T00:00:00"", ""end_date"": ""2025-06-30T00:00:00"", ""market"": ""NYC"", ""area"": null, ""region"": null, ""max_sites"": 10}"
55,/api/v1/schedular/pace-constraints/{entry_id},DELETE,"Delete a pace constraint. Must belong to the specified user.","Path Params: entry_id (int, required). Query Params: user_id (string, required)","/api/v1/schedular/pace-constraints/1?user_id=user123","JSON object with detail message","{""detail"": ""Deleted pace constraint 1""}"
56,/api/v1/schedular/dashboard/sla-default-summary,GET,"Dashboard summary using default/user override SLA with aggregated site status counts. Supports all gantt chart filters including vendor capacity and pace constraints.","Query Params: region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional — ON TRACK, IN PROGRESS, CRITICAL, Blocked, Excluded - Crew Shortage, Excluded - Pace Constraint)","/api/v1/schedular/dashboard/sla-default-summary?region=Northeast&user_id=user123","JSON object with dashboard statistics","{""dashboard_status"": ""ON TRACK"", ""on_track_pct"": 78.0, ""total_sites"": 200, ""on_track_sites"": 156, ""in_progress_sites"": 30, ""critical_sites"": 10, ""blocked_sites"": 4, ""excluded_crew_shortage_sites"": 3, ""excluded_pace_constraint_sites"": 2, ""pace_constraint_max_sites"": 10}"
57,/api/v1/schedular/dashboard/sla-history-summary,GET,"Dashboard summary using SLA history-based (median) overrides within a date range. Returns per-milestone median completion days and dashboard status counts. Supports all gantt chart filters.","Query Params: date_from (string, YYYY-MM-DD, required), date_to (string, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), consider_vendor_capacity (bool, optional, default=false), pace_constraint_flag (bool, optional, default=false), status (string, optional)","/api/v1/schedular/dashboard/sla-history-summary?date_from=2025-01-01&date_to=2025-06-30","JSON object with SLA summary and dashboard stats","{""sla_type"": ""history_median"", ""date_from"": ""2025-01-01"", ""date_to"": ""2025-06-30"", ""sla_milestones"": [{""milestone_key"": ""1310"", ""milestone_name"": ""Site Acquisition"", ""default_expected_days"": 30, ""history_expected_days"": 25, ""sample_count"": 50}], ""dashboard_status"": ""ON TRACK"", ""on_track_pct"": 75.0, ""total_sites"": 200, ""on_track_sites"": 150, ""in_progress_sites"": 30, ""critical_sites"": 15, ""blocked_sites"": 5, ""excluded_crew_shortage_sites"": 2, ""excluded_pace_constraint_sites"": 1, ""pace_constraint_max_sites"": 10}"
